Company,ticker,T/V
Dream Offc REIT H Db,D.DB.H,T
Dream Offc REIT K Db,D.DB.K,T
Dream Office REIT Un,D.UN,T
DREAM Unltd Cl A SV,DRM,T
DREAM Unltd 1st Pr,DRM.PR.A,T
Dundee Acquis A RV,DAQ.A,T
Dundee Acquis Wt,DAQ.WT,T
Dundee Corp. Cl A SV,DC.A,T
Dundee Corp. Pr 2,DC.PR.B,T
Dundee Corp 1st Pr 3,DC.PR.D,T
Dundee Corp Pr 5,DC.PR.E,T
Dundee Corp Wt,DC.WT,T
Dundee Energy Ltd. J,DEN,T
Dundee Precious Mtl,DPM,T
DXI Energy Inc J,DXI,T
Dynacor Gold Mines J,DNG,T
Dynasty Metals Inc J,DMM,T
E-L Financial Corp.,ELF,T
E-L Financial 1st Pr,ELF.PR.F,T
E-L Financl 4.75 Pr2,ELF.PR.G,T
